"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","475","testRandomImageStructure","Surefire suite","Fri Jul 04 15:44:22 BRT 2025","passed","Fri Jul 04 15:44:23 BRT 2025","tests.Images.RandomImageTest","Surefire test","tests.Images.RandomImageTest","testRandomImageStructure"
"","494","testResponseTime","Surefire suite","Fri Jul 04 15:44:18 BRT 2025","passed","Fri Jul 04 15:44:18 BRT 2025","tests.Images.BreedImagesTest","Surefire test","tests.Images.BreedImagesTest","testResponseTime"
"","452","testResponseTime","Surefire suite","Fri Jul 04 15:44:23 BRT 2025","passed","Fri Jul 04 15:44:23 BRT 2025","tests.Images.RandomImageTest","Surefire test","tests.Images.RandomImageTest","testResponseTime"
"","437","testRandomImageStatusCode","Surefire suite","Fri Jul 04 15:44:22 BRT 2025","passed","Fri Jul 04 15:44:22 BRT 2025","tests.Images.RandomImageTest","Surefire test","tests.Images.RandomImageTest","testRandomImageStatusCode"
"","529","testStatusCodeIs200","Surefire suite","Fri Jul 04 15:44:20 BRT 2025","passed","Fri Jul 04 15:44:21 BRT 2025","tests.breeds.BreedsTest","Surefire test","tests.breeds.BreedsTest","testStatusCodeIs200"
"","2381","testAllImageUrlsAreValid","Surefire suite","Fri Jul 04 15:44:15 BRT 2025","passed","Fri Jul 04 15:44:17 BRT 2025","tests.Images.BreedImagesTest","Surefire test","tests.Images.BreedImagesTest","testAllImageUrlsAreValid"
"","496","testResponseStructure","Surefire suite","Fri Jul 04 15:44:19 BRT 2025","passed","Fri Jul 04 15:44:20 BRT 2025","tests.breeds.BreedsTest","Surefire test","tests.breeds.BreedsTest","testResponseStructure"
"","597","testValidBreedReturnsImages","Surefire suite","Fri Jul 04 15:44:18 BRT 2025","passed","Fri Jul 04 15:44:19 BRT 2025","tests.Images.BreedImagesTest","Surefire test","tests.Images.BreedImagesTest","testValidBreedReturnsImages"
"","445","testResponseTime","Surefire suite","Fri Jul 04 15:44:20 BRT 2025","passed","Fri Jul 04 15:44:20 BRT 2025","tests.breeds.BreedsTest","Surefire test","tests.breeds.BreedsTest","testResponseTime"
"","924","testImageIsDifferentOnMultipleCalls","Surefire suite","Fri Jul 04 15:44:21 BRT 2025","passed","Fri Jul 04 15:44:22 BRT 2025","tests.Images.RandomImageTest","Surefire test","tests.Images.RandomImageTest","testImageIsDifferentOnMultipleCalls"
"","498","testBreedListContainsKnownBreeds","Surefire suite","Fri Jul 04 15:44:19 BRT 2025","passed","Fri Jul 04 15:44:19 BRT 2025","tests.breeds.BreedsTest","Surefire test","tests.breeds.BreedsTest","testBreedListContainsKnownBreeds"
"","434","testImageUrlIsValid","Surefire suite","Fri Jul 04 15:44:22 BRT 2025","passed","Fri Jul 04 15:44:22 BRT 2025","tests.Images.RandomImageTest","Surefire test","tests.Images.RandomImageTest","testImageUrlIsValid"
"","470","testInvalidBreedReturnsError","Surefire suite","Fri Jul 04 15:44:17 BRT 2025","passed","Fri Jul 04 15:44:18 BRT 2025","tests.Images.BreedImagesTest","Surefire test","tests.Images.BreedImagesTest","testInvalidBreedReturnsError"
